"Vertiba_EUR","Uzvaretajs","Nosaukums","Pretendenti","CPV","x_nozares_mediana","Karogs","IUB_pazinojums","lot_id"
"3698833520.7","RIZZANI DE ECCHER S.P.A.","","1","45000000-7","61063","Megaprojekts (>100M) — parbaudit kontekstu","","250509"
"1765049110.22","ELECNOR SERVICIOS Y PROYECTOS, S.A.U.","","1","45000000-7","29139","Megaprojekts (>100M) — parbaudit kontekstu","","446339"
"157652616","Konsorcium ŠKODA TRANSPORTATION – ŠKODA VAGONKA","","2","34600000-3","3754","Megaprojekts (>100M) — parbaudit kontekstu","","476819"
"95308827.5","sabiedrība ar ierobežotu atbildību ""ROADEKS""","","1","90610000-6","4254","Liela vertiba + 1 pretendents","","377328"
"79110266.78","Sabiedrība ar ierobežotu atbildību ""DPA""","","82","48000000-8","2138","","","371120"
"78888888.88","SIA ""NORDES BŪVE""","","3","45259900-6","1302","","","496435"
"77435426.25","SIA ""Eco Baltia vide""","","1","90610000-6","3456","Liela vertiba + 1 pretendents","","377334"
"77072181.41","Rolls-Royce Solutions GmbH","","3","31000000-6","2588","","","262323"
"69802998.24","PS ""Vanšu tilts""","","2","45221100-3","1152","","","481355"
"69786455.85","Sabiedrība ar ierobežotu atbildību ""Vizii Urban""","","1","90610000-6","3115","Liela vertiba + 1 pretendents","","377337"
"69515057.86","Akciju sabiedrība ""UPB""","","3","45000000-7","1148","","","440999"
"64450972.71","Sabiedrība ar ierobežotu atbildību ""TILTS""","","2","45233120-6","1064","","","374867"
"64450972.71","Ceļu būves firma SIA ""BINDERS""","","2","45233120-6","1064","","","375545"
"58691691.69","SIA ""NORDES BŪVE""","","3","45234160-5","969","","","263118"
"56317805.84","SIA ""LT Piling""","","2","45233120-6","930","","","359451"
"55426569.6","SIA Stiga RM Transports","","30","60100000-9","1952","","","414814"
"54697039.53","SIA ""Industry Service Partner""","","2","45232421-9","903","","","449453"
"52628934.64","Sabiedrība ar ierobežotu atbildību ""Citrus Solutions""","","6","45000000-7","869","","","481577"
"52181648.71","Akciju sabiedrība ""LIEPĀJAS AUTOBUSU PARKS""","","1","60112000-6","1838","Liela vertiba + 1 pretendents","","485978"
"51418723.68","Sabiedrība ar ierobežotu atbildību ""Panātre""","","31","60100000-9","1811","","","414812"
"51255844.9","SIA ""AIMASA""","","1","45000000-7","846","Liela vertiba + 1 pretendents","","384365"
"50553731","GE Vernova Global Services GmbH","","1","50500000-0","2528","Liela vertiba + 1 pretendents","","474023"
"49577150.8","SIA Stiga RM Metāls","","46","60100000-9","1746","","","83331"
"45875000","Sabiedrība ar ierobežotu atbildību ""RĪGAS TILTI""","","2","90610000-6","2048","","","413209"
"44555526.72","SIA Stiga RM Transports","","27","60100000-9","1569","","","414813"
"44011768.47","Sabiedrība ar ierobežotu atbildību ""NEWCOM Construction""","","4","45000000-7","727","","","263243"
"40590000","SIA ""GRANTIŅI 1""","","21","77210000-5","1097","","","339104"
"39682242.24","SIA Stiga RM Metāls","","33","60100000-9","1398","","","414815"
"35116918.85","Sabiedrība ar ierobežotu atbildību ""ACBR""","","4","45233120-6","580","","","368625"
"33763536","Sabiedrība ar ierobežotu atbildību ""B.BRAUN MEDICAL""","","8","33000000-0","5673","","","503145"
"33331500","SIA ""R GRUPA""","","19","77210000-5","901","","","339602"
"30000000","Sabiedrība ar ierobežotu atbildību ""TUKUMA AUTO""","","3","60112000-6","1057","","","385891"
"29143125","Sabiedrība ar ierobežotu atbildību ""INDĀRES""","","15","77210000-5","788","","","339074"
"28155811","Ceļu būves firma SIA ""BINDERS""","","3","45234126-5","465","","","86234"
"27298513","SIA ""Velve-AE""","","3","45000000-7","451","","","83884"
"26739160","Pašvaldības SIA ""Ventspils reiss""","","1","60112000-6","942","Liela vertiba + 1 pretendents","","460047"
"26446281","Sabiedrība ar ierobežotu atbildību ""AOX Trade""","","7","09310000-5","630","","","502200"
"25564500","Akciju sabiedrība ""PATA Strenči""","","21","77210000-5","691","","","338762"
"24384771.12","Sabiedrība ar ierobežotu atbildību ""ARČERS""","","7","45000000-7","403","","","469842"
"24221946.2","Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","","2","55524000-9","224","","","248618"
"23689000.7","Sabiedrība ar ierobežotu atbildību ""Ošukalns celtniecība""","","7","45000000-7","391","","","476113"
"23500000","Ceļu būves firma SIA ""BINDERS""","","2","45233251-3","388","","","461227"
"23140495.86","SIA Elenger","","3","09310000-5","551","","","414880"
"22926103.19","SIA ""NORDES BŪVE""","","7","45000000-7","378","","","492359"
"22839997.77","Ceļu būves firma SIA ""BINDERS""","","3","45230000-8","377","","","459627"
"22809024","Sabiedrība ar ierobežotu atbildību ""AJ Power""","","4","09310000-5","543","","","370836"
"22702990.04","Ceļu būves firma SIA ""BINDERS""","","3","45000000-7","375","","","437230"
"22681907.2","Latvijas Sarkanais Krusts","","8","85312400-3","532","","","395678"
"22680000","SIA ""AL MEŽS""","","21","77210000-5","613","","","338750"
"22547250","Akciju sabiedrība ""PATA Saldus""","","13","77210000-5","609","","","338779"
"22222222.22","Sabiedrība ar ierobežotu atbildību ""ACBR""","","3","71220000-6","1856","Atkartoti cipari — iesp. IUB aizpildvertiba","","262437"
"22010365","HyperStrong International Germany GmbH","","6","31430000-9","739","","","483585"
"22000000","SIA ""Eco Baltia vide""","","2","90500000-2","982","","","439978"
"21900826.45","Sabiedrība ar ierobežotu atbildību ""Helmes Latvia""","","1","72260000-5","529","Liela vertiba + 1 pretendents","","404263"
"21528926","Akciju sabiedrība ""Dobeles dzirnavnieks""","","2","15000000-8","2013","","","450440"
"21160000","Ceļu būves firma SIA ""BINDERS""","","2","45000000-7","349","","","255628"
"20826446.28","SIA ""Brasa Defence Systems""","","2","18931100-5","2264","","","487322"
"20772756.77","Ceļu būves firma SIA ""BINDERS""","","4","45233120-6","343","","","417983"
"20572992","SIA ""FARADS""","","2","45000000-7","340","","","480835"
"20572992","SIA ""J.E.F.""","","4","45000000-7","340","","","480834"
"20572992","SIA ""DELTA EM""","","1","45000000-7","340","Liela vertiba + 1 pretendents","","480831"
"20572992","SIA ""Ditra Networks""","","4","45000000-7","340","","","480829"
"20572992","Sabiedrība ar ierobežotu atbildību ""Hanza-elektro""","","2","45000000-7","340","","","480827"
"20572992","Alūksnes rajona sabiedrība ar ierobežotu atbildību firma ""ALŪKSNES ENERGOCELTNIEKS""","","2","45000000-7","340","","","480822"
"20572992","Sabiedrība ar ierobežotu atbildību ""WOLTEC""","","2","45000000-7","340","","","481182"
"20572992","Sabiedrība ar ierobežotu atbildību ""TELMS""","","4","45000000-7","340","","","481628"
"20572992","SIA ""DELTA EM""","","1","45000000-7","340","Liela vertiba + 1 pretendents","","491556"
"20572992","Sabiedrība ar ierobežotu atbildību ""Enersense""","","4","45000000-7","340","","","492957"
"20572992","Sabiedrība ar ierobežotu atbildību ""KVĒLE""","","2","45000000-7","340","","","492950"
"20572992","SIA ""TALSU SPRIEGUMS""","","3","45000000-7","340","","","499447"
"20572992","Sabiedrība ar ierobežotu atbildību ""SZMA""","","2","45000000-7","340","","","500986"
"20572992","Sabiedrība ar ierobežotu atbildību ""ENERGOREMONTS RĪGA""","","1","45000000-7","340","Liela vertiba + 1 pretendents","","516048"
"20339053.66","Pilnsabiedrība ""Fima Group - Mapri Būve - ROBUSTUS""","","3","45000000-7","336","","","404348"
"20000000","Sabiedrība ar ierobežotu atbildību ""Clean R""","","2","90511000-2","893","","","337645"
"18252167.5","SIA ""NORDES BŪVE""","","2","45259900-6","301","","","373262"
"17880750","Akciju sabiedrība ""PATA Saldus""","","19","77210000-5","483","","","339593"
"17622640.29","SIA ""Adaptive""","","22","48800000-6","476","","","381802"
"17500000","SIA ""MONUM""","","3","45252300-1","289","","","406189"
"17485875","Sabiedrība ar ierobežotu atbildību ""INDĀRES""","","22","77210000-5","473","","","339540"
"17432929","SIA ""Eco Baltia vide""","","2","90511000-2","778","","","263469"
"16858406.15","SIA ""MONUM""","","4","45000000-7","278","","","362158"
"16749000","Sabiedrība ar ierobežotu atbildību ""MĀRTIŅŠ""","","13","77210000-5","453","","","338790"
"16528925.68","Akciju sabiedrība ""EMERGN""","","1","72267000-4","399","","","433375"
"16528925.62","Sabiedrība ar ierobežotu atbildību ""AOX Trade""","","6","09310000-5","394","","","344083"
"16503173.27","Sabiedrība ar ierobežotu atbildību ""TILTS""","","4","45221100-3","272","","","379389"
"16268432.2","Ceļu būves firma SIA ""BINDERS""","","1","90480000-5","726","","","394689"
"15298924.16","Sabiedrība ar ierobežotu atbildību ""Ceļu būvniecības sabiedrība ""IGATE""""","","4","45233120-6","253","","","382083"
"14971552.94","SIA ""NORDES BŪVE""","","2","45221100-3","247","","","352159"
"14897903.69","Akciju sabiedrība ""A.C.B.""","","5","45233120-6","246","","","364761"
"14883750","Sabiedrība ar ierobežotu atbildību ""AMMZ pakalpojumi""","","13","77210000-5","402","","","338798"
"14883750","Sabiedrība ar ierobežotu atbildību ""AMMZ pakalpojumi""","","13","77210000-5","402","","","338799"
"14816520","“MOTO_TRUCK” sp.z.o.o.","","4","34144210-3","353","","","262552"
"14006856.98","Pilnsabiedrība ""Vides pakalpojumi Liepājai""","","2","90511000-2","625","","","263470"
"13914536.05","Sabiedrība ar ierobežotu atbildību ""Vizii Urban""","","2","90610000-6","621","","","373505"
"13824933","Sabiedrība ar ierobežotu atbildību ""VTU VALMIERA""","","3","60112000-6","487","","","483419"
"13676985","ENERCON GmbH","","2","31121300-3","459","","","447823"
"13646126.61","Sabiedrība ar ierobežotu atbildību ""VTU VALMIERA""","","2","60112000-6","481","","","382252"
"13618750","""Inspired"" SIA","","13","79341400-0","531","","","106292"
"13614143","SIA RTS Būve","","7","45210000-2","225","","","454431"
"13572810.18","SIA Mapri Būve","","1","45000000-7","224","","","437207"
"13214882.03","PS ""P un P BŪVNIECĪBAS GRUPA""","","5","45210000-2","218","","","388603"
"12597304.04","Sabiedrība ar ierobežotu atbildību ""TORENSBERG""","","5","45000000-7","208","","","442720"
"12287682.2","SIA ""Vizii""","","1","90910000-9","548","","","254413"
"12169786","HYPERSTRONG INTERNATIONAL (GERMANY) GMBH","","7","31430000-9","409","","","510928"
"12096970.02","Sabiedrība ar ierobežotu atbildību ""Citrus Solutions""","","5","45000000-7","200","","","458085"
"12000000","Sabiedrība ar ierobežotu atbildību ""ZZ Dats""","","1","72000000-5","290","","","372893"
"12000000","SIA ""Eco Baltia vide""","","2","90511000-2","536","","","416611"
"12000000","Sabiedrība ar ierobežotu atbildību ""LIKTENIS""","","1","45233200-1","198","","","500154"
"11994901.37","SIA ""BILDBERG""","","2","45000000-7","198","","","394750"
"11941695.72","SIA ""Circle K Latvia""","","4","09100000-0","284","","","445703"
"11856586.5","SIA Connecto Latvija","","3","45315300-1","196","","","483525"
"11731500","Sabiedrība ar ierobežotu atbildību ""SKAIDA PV""","","21","77210000-5","317","","","339976"
"11731500","Sabiedrība ar ierobežotu atbildību ""SKAIDA PV""","","21","77210000-5","317","","","339979"
"11677777.66","Sabiedrība ar ierobežotu atbildību ""ACBR""","","3","45000000-7","193","","","438114"
"11365000","SIA RERE BŪVE","","15","45000000-7","188","","","515259"
"11252868.66","Ceļu būves firma SIA ""BINDERS""","","3","45000000-7","186","","","384831"
"11178871.69","SIA SC GRUPA","","4","45233120-6","185","","","452791"
"11128607","Akciju sabiedrība ""CATA""","","1","60112000-6","392","","","495001"
"11087632.44","Pašvaldības akciju sabiedrība ""Daugavpils siltumtīkli""","","12","65000000-3","31","","","457914"
"11041322.31","Akciju sabiedrība ""ROGA-AGRO""","","3","15800000-6","1033","","","504407"
"10955555.55","Pillar Contractor, SIA","","3","45000000-7","181","","","414465"
"10924139.44","Baltijas Elektro Sabiedrība SIA","","6","31320000-5","367","","","370019"
"10877859.05","SIA ""VIA""","","4","45000000-7","180","","","439077"
"10868689.7","Latvijas Sarkanais Krusts","","7","85312400-3","255","","","377461"
"10766008.8","Sabiedrība ar ierobežotu atbildību ""RERE MEISTARI""","","5","45000000-7","178","","","352468"
"10636498.42","Sabiedrība ar ierobežotu atbildību ""Reck""","","3","31100000-7","357","","","513927"
"10591875","SIA ""Niedrāji MR""","","10","77210000-5","286","","","339944"
"10536985.95","SIA ""CHS""","","8","90910000-9","470","","","493248"
"10521482","Sabiedrība ar ierobežotu atbildību ""FRISTAR""","","3","55520000-1","97","","","246327"
"10498000","Baltic Workboats AS","","1","34513000-6","250","","","105928"
"10299665.12","Sabiedrība ar ierobežotu atbildību ""ACBR""","","5","45233120-6","170","","","417141"
"10260599.6","CBS Igate SIA","","6","45000000-7","169","","","479235"
"10222122","Sabiedrība ar ierobežotu atbildību ""ZZ Dats""","","2","72200000-7","247","","","395554"
"10163663.07","Pašvaldības akciju sabiedrība ""Daugavpils siltumtīkli""","","12","65000000-3","28","","","456546"
"10093399.17","Sabiedrība ar ierobežotu atbildību ""Zemgales remonta centrs""","","2","50842000-9","505","","","353330"
"10000402.55","Ceļu būves firma SIA ""BINDERS""","","1","90480000-5","446","","","394690"
"10000000","Akciju sabiedrība ""Citadele banka""","","1","66110000-4","260","","","500850"
"9917356","Akciju sabiedrība ""EMERGN""","","4","72267000-4","240","","","420901"
"9917355.37","Akciju sabiedrība ""Latvenergo""","","3","09310000-5","236","","","414873"
"9912997.6","Sabiedrība ar ierobežotu atbildību ""ARČERS""","","13","45210000-2","164","","","413618"
"9802000","Sabiedrība ar ierobežotu atbildību ""ACBR""","","6","45000000-7","162","","","414256"
"9753750","SIA ""MEŽDARIS""","","21","77210000-5","264","","","339099"
"9718392","“MOTO_TRUCK” sp.z.o.o.","","4","34144210-3","231","","","262553"
"9569072.15","Sabiedrība ar ierobežotu atbildību ""ACBR""","","5","45233120-6","158","","","360691"
"9478125","Aizkraukles rajona Daudzeses pagasta zemnieku saimniecība ""VAIROGI""","","22","77210000-5","256","","","339535"
